"Story","Title","Result","Date","Stability","Duration (s)"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2020-03-13T20:47:00.645+05:30[Asia/Calcutta]","0.0","4.04"
"Tags test","Provide a 405 status code when incorrect HTTP method is used to access a resource","SUCCESS","2020-03-13T20:47:05.493+05:30[Asia/Calcutta]","0.0","0.38"
